Free Genre,Counter
background piano,97
neo-classical,284
piano,598
ambient,88
 meditation,62
neo classical,62
new age,10
 folk,5
 celtic,5
instrumental worship,40
 downtempo,26
 piano,41
 chill out,26
 background music,22
 minimalism,15
 new age,21
instrumental,62
 worship,35
 ambient,5
piano cover,24
meditation,6
 chill beats,5
 indian ambient,5
background music,19
 focus,19
 relaxative,8
 jazz,5
jazz,2
lullaby,11
shush,1
lounge,1
 chill,1
classical,1
 soundtrack,1
soundtrack,1
video game music,1
percussion,1
louvor,1
 gospel,1
mallet,1
 percussion,1
 marimba,1
 children's music,1
 instrumental,1
 tropical house,8
